00-database-info	This is the Vietnamese-English dictionary database of the Free Vietnamese Dictionary Project, and the Open Vietnamese Dictionary Project.; C
lai nua	In addition, on the other hand
lai nua	In addition, on the other hand
lâu đời	(adj) long-standing
lâu đời	(adj) long-standing
mon hoc	(noun) subject
mon hoc	(noun) subject
nguon	(noun) source; spring
nguon	(noun) source; spring
nõ nường	như nõn nường
nõ nường	như nõn nường
phan diem	(thiên văn) Equinox
phan diem	(thiên văn) Equinox
phan diem	(cũ) Eating-house
que mua	(adj) levorish, rustic
que mua	(adj) levorish, rustic
sang che	(verb) to invent
sang che	(noun) invention
sang che	(verb) to invent
sang che	(noun) invention
suy xet	(verb) to consider, to think out
suy xet	(verb) to consider, to think out
tan ac	(adj) wicked, ruthless
tan ac	(adj) wicked, ruthless
tinh bot	(noun) starch
tinh bot	(noun) starch
đá tai mèo	Rugger rock
đá tai mèo	Rugger rock
địa chủ	Landlord, landlady, landownerbai xich	(verb) To boycott, to ostracise
địa chủ	Landlord, landlady, landowner
bái lĩnh	(verb) To receive with a kowtow
can thien binh	Steelyard
can thien binh	Steelyard
chiem	(noun) Summer rice
chiem	(adj) (nói về thóc) Of the fifth lunar month, summer; Out of season, late
chiem	(noun) Summer rice
chiem	(adj) (nói về thóc) Of the fifth lunar month, summer; Out of season, late
chiem	(verb) To appropriate, to occupy; To make up
dong dat	(noun) earthquake, seism
dong dat	(noun) earthquake, seismbao anh	(noun) Phantasm
dẻo chân	Light-footed
dẻo chân	Light-footed
giao hen	Promise conditionally to (do something)
giao hen	Promise conditionally to (do something)
got giua	polish with great care
got giua	polish with great care
hieu nghia	Dutiful and loyal
hieu nghia	Dutiful and loyal
hue	(tiếng địa phương) Flower, blossom, bloom
hue	(tiếng địa phương) Flower, blossom, bloom
hue	(tiếng địa phương) Draw
hue	(noun) lily
lai qua	(cũ) Portion reserved for the people who had brought engagement (wedding) offering
lai qua	(cũ) Portion reserved for the people who had brought engagement (wedding) offering
mon men	Approach with small step, approach gradually
nguon con	Ins and outs, head and tail
nguon con	Ins and outs, head and tail
phan dinh	Delimit, fix
phan dinh	Delimit, fix
sang choang	(adj) very bright, brightly-lit
sang choang	(adj) very bright, brightly-lit
tan bao	(adj) fiendish, cruel
tan bao	(adj) fiendish, cruel
đá thử vàng	Touchstone
đá thử vàng	Touchstone
địa các	Chin area (in physiognomy)bai xuat	(verb) To excrete, to eliminate
địa các	Chin area (in physiognomy)
bái phục	(verb) to admire; to bow in admiration
can thiep	(verb) To intervene, to interfere
can thiep	(verb) To intervene, to interfere
chiem bai	(verb) to adore
chiem bai	(verb) to adore
cuong tin	(adj) Fanatic
cuong tin	(adj) Fanatic
dong dau	Swine - fever; Append one's seal; seal; stamp
dong dau	Swine - fever; Append one's seal; seal; stamp
dẻo dai	(adj) resistant; enduring
dẻo dai	(adj) resistant; enduring
giao hieu	(từ cũ; nghĩa cũ) Exchange visitors, exchange helper (in organizing processions, festivals, etc.) between villages
giao hieu	(từ cũ; nghĩa cũ) Exchange visitors, exchange helper (in organizing processions, festivals, etc.) between villages
got ngoc	(từ cũ; nghĩa cũ, trtr) Majectic step
got ngoc	(từ cũ; nghĩa cũ, trtr) Majectic step
hieu nghiem	(adj) efficacious
hieu nghiem	(adj) efficacious
hue co	(từ cũ; nghĩa cũ) Condescend tọ
hue co	(từ cũ; nghĩa cũ) Condescend tọ
lai rai	(adj) dragging on; intermittent and light
lây lất	(verb) to last
lây lất	(verb) to last
mon moi	Wear out gradually, decline gradually.; Her youth had gradually declined and her looks had lost their freshness
mon moi	Wear out gradually, decline gradually.; Her youth had gradually declined and her looks had lost their freshness
nguon goc	(noun) source; origin
nguon goc	(noun) source; origin
Phan Dinh Phung	Phan Đình Phùng (1847-1895) - an insurgent leader in Cần Vương (Royalist) Movement - had his native village in La Son (Hà Tĩnh). Born in a Confucianist family, he graduated as doctor and served Nhà Nguyễn (Nguyễn Dynasty). In 1883, he was dismissed and came back to his native village. In 1885, when Cần Vương Decree was promulgated by King Hàm Nghi, he rose up in arms against the French invaders. This 10-year resistance inflicted heavy losses to the French. Phan Đình Phùng died of a disease in 1895
Phan Dinh Phung	Phan Đình Phùng (1847-1895) - an insurgent leader in Cần Vương (Royalist) Movement - had his native village in La Son (Hà Tĩnh). Born in a Confucianist family, he graduated as doctor and served Nhà Nguyễn (Nguyễn Dynasty). In 1883, he was dismissed and came back to his native village. In 1885, when Cần Vương Decree was promulgated by King Hàm Nghi, he rose up in arms against the French invaders. This 10-year resistance inflicted heavy losses to the French. Phan Đình Phùng died of a disease in 1895
que nguoi	danh từ strange country, foreign land
que nguoi	danh từ strange country, foreign land
sang choi	(adj) dazzlingly bright, brilliant
sang choi	(adj) dazzlingly bright, brilliant
suy yeu	(verb) to weaken, to decline
suy yeu	(verb) to weaken, to decline
tan binh	(noun) defeated troops, remains
tan binh	(noun) defeated troops, remains
tan binh	(noun) new soldier, new recruit
thu nhap	(noun) income
thu nhap	(noun) income
đá vàng	indefectible; unshakeable
đá vàng	indefectible; unshakeable
địa cầu	(noun) globe; earthbai yet	(noun) Respect-paying audience
địa cầu	(noun) globe; earth
binh dan	(noun) Commoner
binh dan	(adj) popular
binh dan	(noun) Commoner
binh dan	(adj) popular
bái thần giáo	Idolatry
chiem bao	(verb) To dream, to see in a dream
chiem bao	(verb) To dream, to see in a dream
chôn chân	To confine oneself, to keep oneself shut up; To pin down
chôn chân	To confine oneself, to keep oneself shut up; To pin down
dong day	Move, stir
dong day	Move, stirbao ban	(verb) To admonish
dẻo dang	Showing litheness,apparently lithe (thường nói về động tác)
dẻo dang	Showing litheness,apparently lithe (thường nói về động tác)
got rua	(verb) to wipe out
got rua	(verb) to wipe out
hieu qua	(noun) result; effect
hieu qua	(noun) result; effect
huech	Gaping
huech	Gaping
lai sinh	(cũ) After-life, next life
nguong	Threshold
nguong	Threshold
nguong	(adj) ashamed
nhe bong	feather light
nhe bong	feather light
que nha	One's own native place
que nha	One's own native place
sang da	tính từ quick-witted
sang da	tính từ quick-witted
đá vôi	(noun) limestone
đá vôi	(noun) limestone
địa cực	Earth's polesbam	(verb) To hang on to, to stick fast to; To sponge on
địa cực	Earth's poles
binh dang	(adj) Equal
binh dang	(adj) Equal
bái tạ	(verb) To thank with a kowtow
chiem chiep	To cheep, to chirp
chiem chiep	To cheep, to chirp
chôn cất	To inter
chôn cất	To inter
dong di	(ý xấu) Sexually aroused (nói về đàn bà)
dong di	(ý xấu) Sexually aroused (nói về đàn bà)bao an binh	(noun) Guard (provincial or district)
dẻo mồm	Glib; talkative
dẻo mồm	Glib; talkative
got sat	Iron heel
got sat	Iron heel
hieu sac	Fond of beautiful women
hieu sac	Fond of beautiful women
huech hoac	như huếch (ý mạnh hơn)
huech hoac	như huếch (ý mạnh hơn)
lai suat	Interest rate
lai suat	Interest rate
mon phai	(noun) school; sect
mon phai	(noun) school; sect
nay kinh	Respectfully yours, with the assurances of one's highest consideration
nay kinh	Respectfully yours, with the assurances of one's highest consideration
nguong cua	threshold, doorstep
nguong cua	threshold, doorstep
nhe bung	như nhẹ dạ
nhe bung	như nhẹ dạ
phan doi	Section (army unit)
phan doi	Section (army unit)
phan doi	(verb) to object, oppose, to be against
que quan	Native village, native country
que quan	Native village, native country
sang doat	(ít dùng) Appropriate, rob
sang doat	(ít dùng) Appropriate, rob
tu duong	(verb) to sefl-improve
tu duong	(verb) to sefl-improve
đá đít	(thông tục) Kick out
đá đít	(thông tục) Kick out
địa danh	Place namebam bao	To report and refer to higher level
địa danh	Place name
binh dao	Fire and sword
binh dao	Fire and sword
bái tổ	(verb) To make a thanksgiving to ancestors, to kowtow to the memories of ancestors; To give a kowtow, to give a salute
can thu	Letter - weight
can thu	Letter - weight
chiem cu	To occupy
chiem cu	To occupy
dẻo quẹo	(khẩu ngữ); Very lithe
dẻo quẹo	(khẩu ngữ); Very lithe
giao hoan	Return, give back
giao hoan	Return, give back
giao hoan	Exchange, interchange; Commute
got sen	(từ cũ; nghĩa cũ, văn chương) Graceful feel (of a beautiful Woman)
got sen	(từ cũ; nghĩa cũ, văn chương) Graceful feel (of a beautiful Woman)
hieu sinh	Kind to animals, reluctant to kill animals
hieu sinh	Kind to animals, reluctant to kill animals
huenh hoang	Brag
huenh hoang	Brag
lai suc	(verb) to recover one's strength
lai suc	(verb) to recover one's strength
mon sinh	(từ cũ) Disciple
mon sinh	(từ cũ) Disciple
nguong mat	Ashamed
nguong mat	Ashamed
nhe buoc	Walk gingerly, tread lightly
nhe buoc	Walk gingerly, tread lightly
que quat	(adj) lame; hackneyed
que quat	(adj) lame; hackneyed
sang doc	Boil and pustule
sang doc	Boil and pustule
tinh cau	(noun) star
tinh cau	(noun) star
đá đưa	Pay lip servive
đá đưa	Pay lip servive
địa dư	(cũ) Geographybam bung	(verb) To endure silently, to suppress; To reckon to oneself
địa dư	(cũ) Geography
binh di	(adj) Ordinary and simple
binh di	(adj) Ordinary and simple
bái vật giáo	(noun) Fetishism
chiem doat	(verb) To appropriate
chiem doat	(verb) To appropriate
day nay	Here you are
day nay	Here you are
dong dinh	Nail up
dong dinh	Nail up
dẻo sức	(adjective) untiring; tireless
dẻo sức	(adjective) untiring; tireless
got son	(từ cũ; nghĩa cũ, văn chương) Frail heels (of a beautiful woman)
got son	(từ cũ; nghĩa cũ, văn chương) Frail heels (of a beautiful woman)
hieu so	(noun) difference
hieu so	(noun) difference
lai tao	Create (a new variety) by cross-breeding
lai tao	Create (a new variety) by cross-breeding
nay lua	Very fierce
nay lua	Very fierce
nguong mo	(verb) to look up; to admire
nguong mo	(verb) to look up; to admire
nhe da	(adj) credulous; gullible, easily decived
nhe da	(adj) credulous; gullible, easily decived
phan dot	(sinh học) Segmented; segmental
phan dot	(sinh học) Segmented; segmental
đách	(tục); Cunt; Not a bloody damn
đách	(tục); Cunt; Not a bloody damn
địa giới	Border, frontier, border linebam chat	(noun) Nature, inborn trait
địa giới	Border, frontier, border line
binh dia	(noun) Level ground
binh dia	(noun) Level ground
chiem dong	To station occupying troops in, to occupy
chiem dong	To station occupying troops in, to occupy
chông gai	Spikes and thorns, difficulties, obstacles and dangers
chông gai	Spikes and thorns, difficulties, obstacles and dangers
Dong Do	Ancient name of Hà Nội
Dong Do	Ancient name of Hà Nội
got tien	(từ cũ; nghĩa cũ, văn chương) Fairy feet, dainty feet (of a beautiful woman)
got tien	(từ cũ; nghĩa cũ, văn chương) Fairy feet, dainty feet (of a beautiful woman)
hieu su	Fond of contriving unnecessary things, showing undue zeal
hieu su	Fond of contriving unnecessary things, showing undue zeal
lai tap	Hybrid
lai tap	Hybrid
lãng mạn	(adj) romantic
lãng mạn	(adj) romantic
nay mai	In the near future
nguong mom	Feel too awkward (embarrassed) to speak, be silenced by a feeling of awkwardness
nguong mom	Feel too awkward (embarrassed) to speak, be silenced by a feeling of awkwardness
nhe loi	Mild-spoken, soft-spoken
nhe loi	Mild-spoken, soft-spoken
phan giac	(toán học) Đường phân giác; Bisector, bisectrix
phan giac	(toán học) Đường phân giác; Bisector, bisectrix
roi vot	Cane, rod (used as an instrument for punishing shildren)
roi vot	Cane, rod (used as an instrument for punishing shildren)
sang kien	(noun) innovation, initiative
sang kien	(noun) innovation, initiative
suyen	(noun) asthma
suyen	(noun) asthma
tan du	(noun) vestige
tan du	(noun) vestige
tinh che	(verb) to refine
tinh che	(verb) to refine
địa hóa học	Geochemistrybam chuong	(verb) to ring the bell
địa hóa học	Geochemistry
binh dich	(từ cũ, nghĩa cũ) Military service
binh dich	(từ cũ, nghĩa cũ) Military service
binh dich	(noun) plague; epidemic
bái yết	(noun) Respect-paying audience
chiem giu	(verb) to with hold
chiem giu	(verb) to with hold
dong do	Set up the capital (of a kingdom) (in a given place); Outstay one's welcome
dong do	Set up the capital (of a kingdom) (in a given place); Outstay one's welcome
dẽ dàng	Courteous, gentle
dẽ dàng	(adj) easy; fluent
dẽ dàng	Courteous, gentle
hieu suat	(noun) productivity, output
hieu suat	(noun) productivity, output
lai the	(cũ) Future life, after life
lai the	(cũ) Future life, after life
lãng phí	(verb) to waste; to squander
lãng phí	(verb) to waste; to squander
nay mam	Sprout, germinate, bud
nay mam	Sprout, germinate, bud
nguong ngap	Feel awkward
nguong ngap	Feel awkward
nhe mieng	Speak throughtlessly
nhe mieng	Speak throughtlessly
phan giai	(verb) to conciliate, to mediate. (oh), to analyse
phan giai	(verb) to conciliate, to mediate. (oh), to analyse
sang lang	Quick-witted, intelligent
sang lang	Quick-witted, intelligent
suyt	(verb) to be about to, to be on the point of
suyt	(verb) to be about to, to be on the point of
địa lý học	(noun) geographybam don	(verb) To predict by thumbing one's phalanges
địa lý học	(noun) geography
binh dien	(noun) Battery, small-size dynamo
binh dien	(noun) Battery, small-size dynamo
bái đáp	(verb) To answer respectfully
can tre em	Baby - weighing machine
can tre em	Baby - weighing machine
chiem huu	(verb) To hold, to own
chiem huu	(verb) To hold, to own
cut dai	Excrete; durty thing
cut dai	Excrete; durty thing
dẽ giun	Snipe (chim)
dẽ giun	Snipe (chim)
hieu thang	Envious and fond of surpassing others
hieu thang	Envious and fond of surpassing others
hum hup	xem húp (láy)
hum hup	xem húp (láy)
lãng quên	(adj) oblivion
lãng quên	(adj) oblivion
mong cho	như mong đợi
mong cho	như mong đợi
nay muc	Line [with ink]
nay muc	Line [with ink]
nguong nghiu	awkward
nguong nghiu	awkward
nhe minh	Have one's mind at peace
nhe minh	Have one's mind at peace
phan gioi	Delimit, demarcate
phan gioi	Delimit, demarcate
sang lap	(verb) to found
sang lap	(verb) to found
suyt nua	(adverb) almost, nearly
suyt nua	(adverb) almost, nearly
tan gia	House warming party
tan gia	House warming party
đái nhắt	cũng viết đái rắt Be affected by micturition
đái nhắt	cũng viết đái rắt Be affected by micturition
địa mạo	Geomorphologybam gan	(verb) To suppress one's anger silently
địa mạo	Geomorphology
Binh Dinh	Quy Nhơn, provincial capital of Bình Định, is 1,065km from Hà Nội on National Highway 1. In the old days, Quy Nhơn was called Thị Nại, the name of a beautiful lake inside the city. Biển Quy Nhơn (Quy Nhon+Sea) has an annual average temperature of 25.7oC and is suitable for tourism the year round. Hoàng Hậu Beach is an ideal place for bathing. Quang Trung Museum is dedicated to Nguyễn Huệ, a national hero of the 18th century. It was built in his native land of Kien My village, Binh Thanh commune, Tây Sơn district, some 45km from Quy Nhon City. Nguyễn Huệ is one of three brothers who led the Tây Sơn Insurrection. In 1788, he led a great force advancing from Phú Xuân (Huế) to the North. It took 35 days and they exacted an overwhelming defeat on the Qing invaders near Thăng Long (now Hà Nội), thereby liberating the royal+capital. He crowned himself Emperor Quang Trung the same year. At Quang Trung Museum, visitors will enjoy music and demonstrations of Võ Tây Sơn (traditional martial arts of Bình Định). In particular, they can+see a young woman, a niece of the 9th generation of Emperor Quang Trung, playing 11 battle drums. In addition, Hoi Van village (Cat Trinh commune, Phù Cát district) is well known for its hot spring. It is composed of+various chemical components useful in the treatment of rheumatism, mental disorder, cardio-vascular diseases and skin diseases. Beside the hot spring, there is a sanatorium which offers steam baths with mineral water of 38oC useful for medical treatment and general health improvement.=Built in 1665 in the Đồ Bàn Citadel - second capital of the Kingdom of Chăm Pa some 27km from Quy Nhơn City - Thap Thap Pagoda is a Buddhist temple, but its decorations are characterized by the Chăm decorative art. Dương Long Chàm Tower is also called Tháp Ngà (Tower of Ivory),+consisting of three towers. This group of towers is one of the most beautiful in Central Vietnam. Banh It Tower is also called Tháp Bạc (Silver Tower). There, tourists can enjoy a panoramic view of this fertile countryside
Binh Dinh	Quy Nhơn, provincial capital of Bình Định, is 1,065km from Hà Nội on National Highway 1. In the old days, Quy Nhơn was called Thị Nại, the name of a beautiful lake inside the city. Biển Quy Nhơn (Quy Nhon+Sea) has an annual average temperature of 25.7oC and is suitable for tourism the year round. Hoàng Hậu Beach is an ideal place for bathing. Quang Trung Museum is dedicated to Nguyễn Huệ, a national hero of the 18th century. It was built in his native land of Kien My village, Binh Thanh commune, Tây Sơn district, some 45km from Quy Nhon City. Nguyễn Huệ is one of three brothers who led the Tây Sơn Insurrection. In 1788, he led a great force advancing from Phú Xuân (Huế) to the North. It took 35 days and they exacted an overwhelming defeat on the Qing invaders near Thăng Long (now Hà Nội), thereby liberating the royal+capital. He crowned himself Emperor Quang Trung the same year. At Quang Trung Museum, visitors will enjoy music and demonstrations of Võ Tây Sơn (traditional martial arts of Bình Định). In particular, they can+see a young woman, a niece of the 9th generation of Emperor Quang Trung, playing 11 battle drums. In addition, Hoi Van village (Cat Trinh commune, Phù Cát district) is well known for its hot spring. It is composed of+various chemical components useful in the treatment of rheumatism, mental disorder, cardio-vascular diseases and skin diseases. Beside the hot spring, there is a sanatorium which offers steam baths with mineral water of 38oC useful for medical treatment and general health improvement.=Built in 1665 in the Đồ Bàn Citadel - second capital of the Kingdom of Chăm Pa some 27km from Quy Nhơn City - Thap Thap Pagoda is a Buddhist temple, but its decorations are characterized by the Chăm decorative art. Dương Long Chàm Tower is also called Tháp Ngà (Tower of Ivory),+consisting of three towers. This group of towers is one of the most beautiful in Central Vietnam. Banh It Tower is also called Tháp Bạc (Silver Tower). There, tourists can enjoy a panoramic view of this fertile countryside
chiem linh	(verb) To control
chiem linh	(verb) To control
cut hung	(verb) to lack inspiration
cut hung	(verb) to lack inspiration
dong dong	(adj) Slender
dong dong	(adj) Slender
dong dong	The rice plants are already inear
dẽ gà	(động vật) Woodcock
dẽ gà	(động vật) Woodcock
giao hop	(verb) to have sexual intercourse
giao hop	(verb) to have sexual intercourse
gu	Taste, liking
gu	(verb) to coo
gu	Sindora tree; sindora wood; Of a brownish-back colour
gu	(verb) (of dod) to snarl
hieu thao	(adj) pious
hieu thao	(adj) pious
lai tinh	Come to, come round, regain consciousness
lai tinh	Come to, come round, regain consciousness
lãng tử	(noun) vagabond
lãng tử	(noun) vagabond
nguong ngung	slightly ashamed
nguong ngung	slightly ashamed
nhe nhang	Light; Mild; gentle
nhe nhang	Light; Mild; gentle
phan hach	(vật lý) Nuclear fission
phan hach	(vật lý) Nuclear fission
quen bang	Forget entirely
quen bang	Forget entirely
rom ra	như rôm
rom ra	như rôm
sang loa	Dazzlingly bright, blindingly bright
sang loa	Dazzlingly bright, blindingly bright
suyt soat	(adjective) almost, alike, approximate
suyt soat	(adjective) almost, alike, approximate
tan hai	(verb) to devastate
tan hai	(verb) to devastate
đái tháo	Be affected by diabetes
đái tháo	Be affected by diabetes
địa ngục	(noun) hellbam gio	(verb) To time; To tell days of good or bad omen
địa ngục	(noun) hell
binh dinh	(verb) To pacify, to quell
binh dinh	(verb) To pacify, to quell
bám riết	(verb) To tread on
chiem nghiem	(verb) To be experienced in observing (something)
chiem nghiem	(verb) To be experienced in observing (something)
chõm chọe	(adj) Imposing (sitting position)
chõm chọe	(adj) Imposing (sitting position)
cut ray	(noun) Ear-wax
cut ray	(noun) Ear-wax
dong du	(sử học) [Movement to] go to Eastern countries (Japan and China) for higher study
dong du	(sử học) [Movement to] go to Eastern countries (Japan and China) for higher study
dong du	In full numbers
dẽ tính	Gentle
dẽ tính	Easy-going, easy to please, complaisant
dẽ tính	Gentle
gu lung	(adjective) hunch-backed; hump-backed
gu lung	(adjective) hunch-backed; hump-backed
hieu the	Potential difference
hieu the	Potential difference
nay noi	Begin to sprout (a defect not hereditary)
nay noi	Begin to sprout (a defect not hereditary)
nguong nguong	xem ngượng (láy)
nguong nguong	xem ngượng (láy)
nhe nhoi	(ít dùng) Make fun of, make sport of
nhe nhoi	(ít dùng) Make fun of, make sport of
phan hang	Classify
phan hang	Classify
phân hiệu	School branch, university branch
phân hiệu	School branch, university branch
quen beng	Clear forget
quen beng	Clear forget
sang loang	(adj) glittering
sang loang	(adj) glittering
đái tật	Be ailing because of age
đái tật	Be ailing because of age
địa phương	Region,area (is a country)bam ngon	Pinch off buds (shoot) of
địa phương	Region,area (is a country)
binh do	Level; Height, altitude
binh do	Level; Height, altitude
bám trụ	Hold on to (a military position)
chiem nguong	(verb) To gaze with veneration; To pay homage to the memory of
chiem nguong	(verb) To gaze with veneration; To pay homage to the memory of
cut xu	(noun) New-born's faeces
cut xu	(noun) New-born's faeces
guc	(verb) to bend down
guc	(verb) to bend down
hieu thi	(từ cũ; nghĩa cũ) như hiểu dụ
hieu thi	(từ cũ; nghĩa cũ) như hiểu dụ
hun duc	(verb) to temper
hun duc	(verb) to temper
lãnh chúa	(noun) lord
lãnh chúa	(noun) lord
nay ra	(verb) to flash
nay ra	(verb) to flash
nguong vong	Expect favours from above, expect fulfilment of one's wishes by higher level
nguong vong	Expect favours from above, expect fulfilment of one's wishes by higher level
nhe nhom	Light; Elegantly slender
nhe nhom	Light; Elegantly slender
phan he	Subsystem
phan he	Subsystem
phân hóa	Split, differentiate
phân hóa	Split, differentiate
phân hóa	danh từ. pollen, anther-dust
quen biet	Be acquainted with
quen biet	Be acquainted with
sang loc	(verb) to creen, to select
sang loc	(verb) to creen, to select
tan hoang	(adj) devastated
tinh dau	(noun) essential oil
tinh dau	(noun) essential oil
tu hu	(noun) koel
tu hu	(noun) koel
uy danh	(noun) authority; prestigious fame
đái tội	(ít dùng) Redeem onéfaults
đái tội	(ít dùng) Redeem onéfaults
địa sinh	(địa lý) Subterraneanbam nut	Press the button
địa sinh	(địa lý) Subterranean
binh doan	(noun) Multi-battalion (multi-regiment, multi-division, multi-army), corps (unit); binh đội; từ cũ, nghĩa cũ) Troops
binh doan	(noun) Multi-battalion (multi-regiment, multi-division, multi-army), corps (unit); binh đội; từ cũ, nghĩa cũ) Troops
chiem tinh hoc	(noun) Astrology
chiem tinh hoc	(noun) Astrology
dong duc	(adj) dense
dong duc	Be on heat, (mỹ) be in heatbanh ran	(noun) Glutinous rice doughnut
dong duc	Be in rutbao benh	(noun) Sudden grave illness
dong duc	(adj) dense
dế dũi	Mole-Cricket
dế dũi	Mole-Cricket
guc gac	Nod one's assent
guc gac	Nod one's assent
hieu thuan	như hiếu đễ
hieu thuan	như hiếu đễ
lãnh hải	(noun) sea (water) - territories
lãnh hải	(noun) sea (water) - territories
mong dit	Rear
mong dit	Rear
nay sinh	Develop, appear
nay sinh	Develop, appear
nhe no	Have a load taken off one's mind
nhe no	Have a load taken off one's mind
phân hóa học	(nông nghiệp) Chemical fertilizer
phân hóa học	(nông nghiệp) Chemical fertilizer
rom say	Prickly heat
rom say	Prickly heat
sang loe	như sáng lòa
sang loe	như sáng lòa
tan hon	(adj) nuptial
tan hon	(noun) marriage
tan hon	(adj) nuptial
tan hon	(noun) marriage
uy hiep	(verb) to bully, to overwhelm, to tread on the neck of;
uy hiep	(verb) to bully, to overwhelm, to tread on the neck of;
địa thế	Terrain (with regard to its conformation)bam que	(từ cũ, nghĩa cũ) như bấm độn
địa thế	Terrain (with regard to its conformation)
bán buôn	Sell wholesale
can truong	(adj) Courageous, unafraid of danger
can truong	(noun) Heart
can truong	(adj) Courageous, unafraid of danger
can truong	(noun) Heart
chien	(verb) To fry
chien	(noun) Animal hair cloth (used for blankets and upholstery)
chien	(verb) To fry
chien	(noun) Animal hair cloth (used for blankets and upholstery)
chien	(noun) War
chien	(adj) Bully, clinking
chien	(noun) Pagoda
cuu canh	(noun) object, finality; end
cuu canh	(noun) object, finality; end
dong dung	Use in emergency
dong dung	Use in emergencybanh rang	(noun) Cog-wheel; bevel gear; cogwheel
giao huong	(noun) symphony
giao huong	(noun) symphony
gui	(noun) dosser
gui	(noun) dosser
gui	(verb) to send, to give, to lay on
hieu trieu	Appeal to, call upon (the masses)
hieu trieu	Appeal to, call upon (the masses)
hun hut	xem hút (láy)
hun hut	xem hút (láy)
lai vang	(verb) to frequent
lai vang	(verb) to frequent
lãnh hội	(verb) to digest; to comprehend
lãnh hội	(verb) to digest; to comprehend
mong doi	Wait for long, long for news from home
mong doi	Wait for long, long for news from home
nay thu	Faithfully your, your obedient servant
nay thu	Faithfully your, your obedient servant
nguu	(noun) ngưu nhũ cow's milk
nguu	(noun) ngưu nhũ cow's milk
nhe tay	Handle with care; Handle with kid gloves
nhe tay	Handle with care; Handle with kid gloves
quen hoi	Attached to
quen hoi	Attached to
rom tro	Lively, exciting
rom tro	Lively, exciting
sang mai	Early morning; Tomorrow morning
sang mai	Early morning; Tomorrow morning
tinh dich	(noun) sperm
tinh dich	(noun) sperm
tu huyt	(noun) whistle
tu huyt	(noun) whistle
địa tầng	(noun) layer, strata (stratum)bam riet	(verb) To tread on
địa tầng	(noun) layer, strata (stratum)
binh gia	(noun) Military
binh gia	(verb) To appraise through a discussion; To review
bán bình nguyên	(địa lý) Peneplain
chien bai	To be defeated, to be vanquished
chien bai	To be defeated, to be vanquished
cuu chien binh	(noun) veteran,
cuu chien binh	(noun) veteran,
dong duoc	Oriental medicament
dong duoc	Oriental medicament
dềnh	Overflow; Bounce up
dềnh	Overflow; Bounce up
gui gam	(verb) to entrust, to recommend
gui gam	(verb) to entrust, to recommend
hieu truong	(noun) head master ; principal
hieu truong	(noun) penalty ; sentence ; punishment
hieu truong	(verb) picture; portrait; photograph
hieu truong	(noun) head master ; principal
hieu truong	(noun) penalty ; sentence ; punishment
hieu truong	(verb) picture; portrait; photograph
lãnh sự	(noun) consul
lãnh sự	(noun) consul
nguu dau	Cow-pox
nguu dau	Cow-pox
nhe tenh	Excessively light
nhe tenh	Excessively light
sang mat	to have good eyesight,be seen sighted
sang mat	to have good eyesight,be seen sighted
tan khach	(noun) guests
tan khach	(noun) guests
thu thanh	(verb) to record
địa từ	Geomagnetismbam sinh	(adj) Innate, inborn; bẩm tính
địa từ	Geomagnetism
binh hanh	Hình bình hành A parallelogram
binh hanh	Hình bình hành A parallelogram
bán chác	(verb) To sell, to trade
bằng an	(adjective) well; safe
chien bao	(noun) War dress
chien bao	(noun) War dress
cuu chuong	(noun) Multiplication table
cuu chuong	(noun) Multiplication table
dềnh dang	(ít dùng) như dềnh dàng
dềnh dang	(địa phương) Cumbrously big
dềnh dang	(ít dùng) như dềnh dàng
gui re	(cũng nói ở rể) Live at one's in laws' (nói về người chồng)
gui re	(cũng nói ở rể) Live at one's in laws' (nói về người chồng)
hieu tu	Dutiful child, dutiful son
hieu tu	Dutiful child, dutiful son
lãnh thổ	(noun) domain; territory
lãnh thổ	(noun) domain; territory
mong lung	Misty, foggy
mong lung	Misty, foggy
nhe tinh	Make light of (some) feeling
nhe tinh	Make light of (some) feeling
nhe tinh	như nhẹ dạ
Phan hoc	Sanskritism
Phan hoc	Sanskritism
quen khuay	Forget completely
quen khuay	Forget completely
sang nam	Next year
sang nam	Next year
tan khoc	(adj) devastating, destructive
tan khoc	(adj) devastating, destructive
uy luc	(noun) power
uy luc	(noun) power
địa vị	(noun) position; rankbam tay	(ít dùng) như bấm đốt
địa vị	(noun) position; rank
binh hoa	(từ cũ, nghĩa cũ) Scourge of war
binh hoa	(từ cũ, nghĩa cũ) Scourge of war
binh hoa	(từ cũ, nghĩa cũ, văn chương) như binh lửa
bán chính thức	Semi-official
bằng bặn	(adj) Even and uniform
chien binh	(noun) Combatant
chien binh	(noun) Combatant
cuu dich	(noun) Enemy; hostile; adversary
cuu dich	(noun) Enemy; hostile; adversary
gun	(cũng nói gút) Small lump (on cloth)
gun	(cũng nói gút) Small lump (on cloth)
lãnh đạm	(adj) cold; chilly; apathetic
lãnh đạm	(adj) cold; chilly; apathetic
ne co	Stick-in-the-mud, old-fogey
ne co	Stick-in-the-mud, old-fogey
phan hoc	(y học) Coprology
phan hoc	(y học) Coprology
quen lang	(verb) to sink into oblivious
quen lang	(verb) to sink into oblivious
sang ngang	(verb) to cross
tan ky	(adjective) new fangled
tan ky	(adjective) new fangled
địa vực	(từ cũ) Territorybam tinh	(noun) disposition; innate character
địa vực	(từ cũ) Territory
binh hoc	(noun) pathology
binh hoc	(noun) pathology
bán chịu	(verb) To sell on credit
